,W,K,Scale,Min_effect,Max_effect,P_comp,D_comp,Deviation
33,0.0369037985373774,362407.4651925826,72409.42623671972,1.8658908175961209,0.0005512556461161615,1.0,0.010798545094026684,4712.075873968425
34,0.04285885057153527,13636.23915249852,1.1191071578694562,0.00036180936789177004,0.13386716496396314,1.0,0.4749104677948418,4978.620908900005
35,0.041046672132469667,18552.64907529422,22928.753355032324,0.00023202199918143869,0.34107065836198197,1.0,0.1295914413739495,4375.240638189587
36,0.043638902618257064,12759.737269248822,1.0535867253021316,0.6783341325689104,0.1237977437734442,1.0,0.03878532363099197,5030.113828817137
37,0.04661390733335287,10264.941049610668,20292.894389555997,0.0001037397698325584,0.1806308416884782,1.0,0.09891098456972072,4567.604474537592
38,0.04584058560416615,10829.585527960238,29381.23422594064,0.00013825409639979216,0.29159749393892104,1.0,0.1322990735094614,4451.856697467844
39,0.046232864320154714,10562.468858815932,3162.6688294289074,0.0003694683920229419,0.18546801858068715,1.0,0.8749795675813865,4579.123632170376
40,0.036612020526450136,1963819.4396834509,28361.352274929857,1.1216677078992232,0.00017583606902099531,1.0,0.16234295472172194,4731.2579761728975
41,0.04015159065398948,17904.407844581998,1.4729734351389054,0.0018827483649076046,5.04768844338722,1.0,0.043833084199410434,4826.469557921601
42,0.03841958667008247,38245.77088893569,1.3990592638851582,0.00258085912010359,0.3500050112118212,1.0,0.01986165951410656,4754.94566246965
43,0.04665616679630828,10288.871307559884,1266.6504457761769,0.00017691216321729462,0.1557474363363216,1.0,1.803328623262852,4648.746807527501
44,0.044091338717156564,12252.631901137713,206.82951185340178,0.09078940889813307,0.11682642066607103,1.0,0.027720702181346056,5067.342359197096
45,0.04329124007236702,13039.644814489831,439488.7411453826,0.12576924847510146,0.00022837094464887367,1.0,0.4366799162172985,5020.966175556013
46,0.03942767557353314,27587.249535086143,21735.321972869453,0.0002753628180570405,0.4618475361303898,1.0,0.16722802262985792,4406.0494850681325
47,0.046128406170124495,10712.218948947986,8317.23760239862,0.00046097650458100647,0.1565391375423071,1.0,0.2300826972530984,4609.577110889334
48,0.043612913604006064,12765.06170093994,121090.20376261858,0.13029435826508706,0.0006787286576528503,1.0,0.519180512107389,5042.231524966833
49,0.03789555797825979,49255.90484282992,1.2248579449505619,0.006230138851219485,2.012593715863558,1.0,0.09119029044712172,4736.834084651075
50,0.03649100688419693,22094675.91282498,5.6250962055698635,0.00010165675727019236,3.9432380549054247,1.0,2.9273329489533007,4737.417023999252
51,0.044070834662645206,12018.392877358325,1.3159213430850167,0.546784231186488,0.11892260264111562,1.0,0.5752518107231138,5069.650251646419
52,0.036524189161508284,1304633.422937611,3.8116914714772663,0.08163832721331314,3.2771679130032934,1.0,0.15905754987225046,4736.949494975791
53,0.03667776151014437,870221.2688764272,657.9675009406424,0.026404961969148464,1.4563910219486642,1.0,0.06308449992172598,4740.4304419265945
54,0.04585633697619832,10802.670527771435,9508.725942683051,0.00016957397421775804,0.4435996469950365,1.0,0.8212290336447164,4436.253641603028
55,0.04640445346840512,10362.049127634367,2379.770062657393,0.00015199274997731643,0.1875506259485086,1.0,1.29187552099145,4590.028679836137
56,0.04289013381483511,13473.14800586382,6.496008462010993,0.0709806478818237,0.13093026810689115,1.0,0.6293269305763836,4988.368868338244
57,0.04693698930592951,10049.99222535803,4129.363094869729,0.0001817718317646923,0.19652166092965012,1.0,0.782828841463483,4599.535850018517
58,0.04662131410600226,10280.990607295651,2277.586309182505,4.314212676390421e-05,0.217081370643168,1.0,1.6062255338834703,4561.894916663248
59,0.04088801967874523,17106.490977623,19.824788476285374,0.003885296640325503,0.21388449065042608,1.0,0.8861494733311707,4848.223613217775
60,0.04313955928065865,13506.166519826284,6.137872502937808,0.12869277943831753,0.1238426709166276,1.0,0.43393742836029897,5003.696634077932
61,0.03653096700120136,3929747.5121717486,504.4955932656309,0.07485793812053007,3.0154796590311146,1.0,0.0610773403891526,4737.351435665521
62,0.03735542850186745,73805.33649189907,3.02822331456626,0.0007210404389908476,1.2185990914789924,1.0,2.18877936310131,4731.83623076115
63,0.039327071012902684,1398933.4413817457,101156.09415148463,14.788381322912159,0.010099095948722393,1.0,0.03248330992194953,7208.2579037888245
