,W,K,empty_0,Max_effect,P_comp,D_comp,Deviation
30,0.043942126577996,12149.119078936736,0.0,0.1158686482011416,1.0,1.9237489702988635,5070.14035467015
31,0.037793329743559936,49597.33023111007,0.0,1.4335289946932503,1.0,0.13714661608372208,4732.7694149066965
32,0.043562407700833285,12832.545691833335,0.0,0.12438720834208487,1.0,0.2501501774494991,5025.375774938514
33,0.03858713394549079,32409.049031073213,0.0,1.3864910103084855,1.0,0.038261675029544,4745.801650609333
34,0.044155727149189854,12040.432087991787,0.0,0.1184126360316008,1.0,0.12429242737281215,5071.882905879168
35,0.04311833701494665,13455.871880129775,0.0,0.12706652681493047,1.0,0.02037957961493421,4997.845970238073
36,0.044202517268433765,11826.782212259484,0.0,0.1140764776693214,1.0,0.6919292123264412,5090.242356664077
37,0.04376727787021701,12260.559183977173,0.0,0.12596789716694926,1.0,0.024457330790093552,5043.370466482336
38,0.009466989258301393,7434.036597135215,0.0,0.00030387394453154333,1.0,0.97795085943094,16003.950612187567
39,39.10746183861456,2316.953667029101,0.0,0.024890091352387282,1.0,0.16140099156894247,11657.773952234736
40,0.04440895115736337,11821.364908778109,0.0,0.11285742916719226,1.0,0.035730294174988096,5096.7995670641185
41,0.043621576764815394,12540.966297945815,0.0,0.1235994680837624,1.0,0.20002569482674493,5035.583277523767
42,0.03641042637415755,7831243.22769289,0.0,4.206623858049952,1.0,2.0170943345603938,4740.099074426771
43,0.0429998273358836,13284.927155510984,0.0,0.12666727674711858,1.0,0.16252370139918856,5002.933325258753
44,0.04306148616726459,13410.06841296995,0.0,0.12745205848538566,1.0,0.0973474221565146,4997.292050318868
45,0.043091109702340175,13341.430158672443,0.0,0.12503835423269846,1.0,0.099194751638355,5004.359565318703
46,0.043651036088695576,12440.518716605877,0.0,0.11969814476901725,1.0,0.30683573068422176,5047.94645092602
47,0.044153731212938564,12094.185617180901,0.0,0.11667834779676366,1.0,0.23944307613924065,5073.579163488667
48,0.04425695584011865,12069.052015443083,0.0,0.11323237861036832,1.0,0.7096827011716272,5084.649579560261
49,0.03651205210208527,2734978.052409046,0.0,6.676551000659486,1.0,0.02096577060760946,4736.9634102357595
50,0.044460376941979615,11873.672146621053,0.0,0.11027749510826312,1.0,1.0662390710087533,5102.980711278789
51,0.04295757670562448,13564.35486214175,0.0,0.14289986439281802,1.0,0.4053716515041771,4972.225135005577
52,0.036481306638101285,1706263.4095190787,0.0,6.083822244800367,1.0,0.05362299167347597,4737.5820212820645
53,0.04418613694501339,12133.528034854317,0.0,0.11374787879115802,1.0,0.3322360328571012,5079.772946669448
54,0.012491255451108357,2030.701521434929,0.0,0.00020633446190899092,1.0,0.3558039867430717,16018.006532481168
55,0.04374394096437074,12030.995077220017,0.0,0.12927242072846684,1.0,2.6119002076474724,5048.285831461225
56,0.043635686605488604,12562.521658489448,0.0,0.11911882124206788,1.0,2.6320625744411488,5044.680263610553
57,0.0440691162823236,11969.99791187843,0.0,0.1185167983115286,1.0,0.010725792137563908,5072.31485705574
58,0.04264368516894454,13973.243835699417,0.0,0.1365977765358173,1.0,2.0515465285070658,4964.793430010258
59,0.03910613920492317,27261.104953600254,0.0,0.4453210509837583,1.0,0.9902712223247044,4762.18716842465
60,0.04364093153540103,12498.994550553052,0.0,0.11868055775541707,1.0,0.1038678762434566,5048.181686881031
61,0.0438459219508015,12432.88008716348,0.0,0.12371242269358156,1.0,0.15478882551161854,5043.726982843791
62,0.009517041652160071,3586.493136238586,0.0,0.00034252520151686915,1.0,0.3570382367216922,16004.331790386805
63,0.04386271823642841,12164.360697171893,0.0,0.1192837081183284,1.0,0.14711665473410565,5060.78922218765
64,0.039430995546198506,21821.177935586456,0.0,3.9225882274953343,1.0,2.3403300887078173,4780.639998108156
